mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
0.770,1.020,1.000,0.850,0,0.25,0,0.75,1.72,3.50,5.00,1.95,3.60,3.60,44.4,22.9,32.7,0.0,30.0,38.0,0.0,19.0,0.0,34.0,0.0,0.0,38.0,0.0,25.0,0
1.040,0.750,0.790,1.109,0,0.0,0.25,0,2.87,3.40,2.37,2.90,3.30,2.40,26.4,27.2,46.4,25.0,0.0,21.0,0.0,0.0,37.0,0.0,25.0,0.0,23.0,37.0,0.0,3
0.970,0.820,0.950,0.850,0,0.75,0,0.5,1.95,3.50,3.80,1.72,3.90,4.33,54.2,27.7,18.1,0.0,33.0,30.0,0.0,52.0,0.0,38.0,0.0,0.0,33.0,0.0,56.0,3
0.925,0.925,0.850,1.000,0,1.0,0,0.75,1.83,3.25,3.75,1.50,4.00,6.00,17.3,20.7,62.0,36.0,0.0,17.0,0.0,0.0,158.0,0.0,34.0,0.0,19.0,142.0,0.0,3
0.800,1.000,0.950,0.850,0,0.25,0,0.75,1.70,3.75,4.75,2.04,3.60,3.40,40.3,29.8,29.9,0.0,21.0,15.0,0.0,21.0,0.0,21.0,0.0,0.0,16.0,0.0,23.0,3
0.825,1.024,0.725,1.149,0,0.5,0,0.25,1.95,3.30,4.00,1.83,3.50,4.33,57.6,29.0,13.4,0.0,42.0,26.0,0.0,64.0,0.0,43.0,0.0,0.0,26.0,0.0,68.0,3
0.950,0.899,0.800,1.049,0,0.25,0,0.25,2.04,3.10,4.00,2.25,3.00,3.50,28.0,54.6,17.4,13.0,0.0,0.0,61.0,51.0,0.0,0.0,18.0,66.0,0.0,0.0,50.0,3
0.850,1.000,1.100,0.774,0,0.25,0,0.5,2.00,3.25,3.90,2.04,3.25,3.75,38.9,44.6,16.5,0.0,13.0,0.0,27.0,54.0,0.0,13.0,0.0,28.0,0.0,0.0,55.0,0
1.024,0.825,0.825,1.024,0,1.0,0,0.75,1.64,3.60,5.50,1.53,3.80,6.50,53.1,17.8,29.1,0.0,28.0,55.0,0.0,28.0,0.0,32.0,0.0,0.0,59.0,0.0,35.0,3
0.750,1.040,1.299,0.649,0.5,0,0.0,0.0,3.20,3.25,2.25,3.60,3.10,2.14,32.7,31.4,35.9,0.0,1.0,9.0,0.0,0.0,7.0,0.0,8.0,0.0,6.0,8.0,0.0,3
0.925,0.925,0.825,1.024,0,0.75,0,0.25,2.10,3.40,2.87,1.72,3.60,4.75,76.0,13.8,10.2,0.0,60.0,67.0,0.0,74.0,0.0,63.0,0.0,0.0,69.0,0.0,77.0,0
0.820,0.970,1.000,0.800,0,0.5,0,1.0,1.57,4.00,5.50,1.83,3.60,4.20,53.9,33.7,12.4,0.0,36.0,19.0,0.0,71.0,0.0,39.0,0.0,0.0,19.0,0.0,73.0,1
1.040,0.750,0.800,1.049,0,1.25,0,1.0,1.44,4.00,8.50,1.44,4.00,8.50,47.5,12.6,40.0,0.0,22.0,66.0,0.0,0.0,7.0,26.0,0.0,0.0,69.0,0.0,14.0,3
0.875,0.975,1.024,0.825,0,0.0,0,0.25,2.37,3.00,3.25,2.62,3.10,2.80,32.5,27.1,40.5,0.0,5.0,20.0,0.0,0.0,13.0,0.0,1.0,0.0,21.0,18.0,0.0,1
1.024,0.825,0.875,0.975,0.0,0.0,0.25,0,3.00,3.60,2.20,2.60,3.60,2.50,13.9,15.6,70.5,68.0,0.0,62.0,0.0,0.0,100.0,0.0,68.0,0.0,63.0,95.0,0.0,3
0.875,0.975,1.000,0.850,0,0.75,0,0.75,1.53,3.50,5.50,1.61,4.00,5.00,33.2,22.6,44.2,4.0,0.0,28.0,0.0,0.0,48.0,0.0,0.0,0.0,32.0,35.0,0.0,3
0.774,1.024,0.875,0.925,0,0.25,0,0.0,2.60,3.30,2.62,2.00,3.60,3.50,42.6,18.7,38.7,0.0,19.0,47.0,0.0,0.0,12.0,22.0,0.0,0.0,48.0,9.0,0.0,0
